Team, Points, Bias
Germany, 1558, 0.2
Brazil, 1431, 0.0
Belgium, 1298, 0.0
Portugal, 1274, 0.0
Argentina, 1241, 0.0
Switzerland, 1199, 0.5
France, 1198, 0.5
Poland, 1183, 0.0
Chile, 1135, 0.5
Spain, 1126, 0.0
Peru, 1125, 0.0
Denmark, 1051, 0.0
England, 1051, 0.0
Uruguay, 1018, 0.0
Mexico, 989, 0.0
Colombia, 986, 0.0
Netherlands, 981, 0.0
Wales, 953, 0.0
Italy, 951, 0.0
Croatia, 945, 0.0
Tunisia, 910, 0.0
Iceland, 908, 0.2
Costa Rica, 884, 0.0
Sweden, 880, 0.0
USA, 873, 0.0
Austria, 845, 0.0
Senegal, 838, 1.0
Slovakia, 804, 0.0
Northern Ireland, 803, 0.0
Romania, 782, 0.0
Republic of Ireland, 777, 0.0
Paraguay, 773, 0.0
Venezuela, 755, 0.0
Serbia, 751, 0.0
Ukraine, 733, 0.0
Australia, 718, 0.0
Iran, 708, 0.0
Turkey, 706, 0.0
Congo DR, 706, 0.0
Bosnia and Herzegovina, 693, 0.0
Morocco, 686, 0.0
Scotland, 660, 0.5
Montenegro, 652, 0.0
Greece, 650, 0.0
Egypt, 649, 0.0
Czech Republic, 641, 0.0
Ghana, 624, 0.0
Nigeria, 618, 0.0
Bulgaria, 614, 0.0
Cameroon, 614, 0.0
Hungary, 612, 0.0
Burkina Faso, 604, 0.0
Norway, 596, 0.5
Jamaica, 588, 0.0
Panama, 571, 0.0
Slovenia, 558, 0.0
Korea Republic, 544, 0.0
Albania, 538, 0.0
Bolivia, 536, 0.0
Ecuador, 524, 0.0
Japan, 521, 1.0
Honduras, 503, 0.0
Finland, 486, 0.0
Mali, 484, 0.5
Cape Verde Islands, 478, 0.0
Algeria, 474, 0.0
Saudi Arabia, 465, 0.0
Côte d'Ivoire, 463, 0.0
Guinea, 463, 0.0
Russia, 457, 0.0
FYR Macedonia, 451, 0.0
El Salvador, 442, 0.0
Syria, 440, 0.0
South Africa, 428, 0.0
China PR, 423, 0.0
Zambia, 420, 0.0
United Arab Emirates, 418, 0.0
Belarus, 417, 0.0
Lebanon, 411, 0.0
Canada, 411, 0.0
Curaçao, 408, 0.0
Uganda, 403, 0.0
Congo, 393, 0.0
Oman, 391, 0.0
Gabon, 390, 0.0
Luxembourg, 390, 0.0
Cyprus, 384, 0.0
Benin, 379, 0.0
Iraq, 377, 0.0
Faroe Islands, 376, 0.0
Trinidad and Tobago, 370, 0.0
Kyrgyz Republic, 363, 0.0
Israel, 362, 0.0
Estonia, 359, 0.0
Uzbekistan, 354, 0.0
Georgia, 352, 0.0
India, 350, 0.5
Qatar, 348, 0.0
Palestine, 347, 0.0
Armenia, 338, 0.0
Libya, 336, 0.0
Vietnam, 334, 0.0
Niger, 323, 0.0
Haiti, 322, 0.0
Azerbaijan, 321, 0.0
Madagascar, 308, 0.0
Mauritania, 304, 0.0
Korea DPR, 303, 0.0
Central African Republic, 303, 0.0
Jordan, 296, 0.0
Sierra Leone, 292, 0.0
Kenya, 291, 0.0
Bahrain, 289, 0.0
Mozambique, 282, 0.0
Philippines, 280, 0.0
Namibia, 277, 0.0
Kazakhstan, 273, 0.0
Zimbabwe, 265, 0.0
Tajikistan, 264, 0.0
New Zealand, 256, 0.0
Guinea-Bissau, 255, 0.0
Thailand, 248, 0.0
Malawi, 247, 0.0
Chinese Taipei, 247, 0.0
Togo, 241, 0.0
Lithuania, 239, 0.0
Antigua and Barbuda, 239, 0.0
Sudan, 232, 0.0
Latvia, 230, 0.0
Turkmenistan, 229, 0.0
Andorra, 229, 0.0
Nicaragua, 228, 0.0
Yemen, 227, 0.0
Swaziland, 222, 0.0
St Kitts and Nevis, 218, 0.0
Rwanda, 216, 0.0
Angola, 209, 0.0
Myanmar, 206, 0.0
Botswana, 205, 0.0
Tanzania, 200, 0.0
Kosovo, 197, 0.0
Hong Kong, 195, 0.0
Equatorial Guinea, 190, 0.0
Solomon Islands, 190, 0.0
Afghanistan, 188, 0.0
Guatemala, 180, 0.0
Lesotho, 175, 0.0
Burundi, 174, 0.0
Comoros, 172, 0.0
Maldives, 171, 0.0
Ethiopia, 166, 0.0
Dominican Republic, 162, 0.0
Suriname, 154, 0.0
New Caledonia, 150, 0.0
Mauritius, 140, 0.0
South Sudan, 132, 0.0
Tahiti, 130, 0.0
Liberia, 129, 0.0
Kuwait, 128, 0.0
Barbados, 127, 0.0
Nepal, 118, 0.0
Vanuatu, 117, 0.0
Belize, 115, 0.0
Indonesia, 111, 0.0
Fiji, 104, 0.0
Cambodia, 103, 0.0
Papua New Guinea, 103, 0.0
Grenada, 102, 0.0
Singapore, 99, 0.0
St Lucia, 95, 0.0
Malaysia, 93, 0.0
Gambia, 92, 0.0
St Vincent and the Grenadines, 89, 0.0
Puerto Rico, 89, 0.0
Chad, 88, 0.0
Moldova, 88, 0.0
Dominica, 86, 0.0
Bermuda, 82, 0.0
Laos, 82, 0.0
Liechtenstein, 80, 0.0
Cuba, 75, 0.0
Guyana, 73, 0.0
Bhutan, 68, 0.0
Malta, 65, 0.0
Macau, 60, 0.0
Mongolia, 51, 0.0
São Tomé e Príncipe, 51, 0.0
Seychelles, 48, 0.0
Aruba, 48, 0.0
Guam, 45, 0.0
Timor-Leste, 45, 0.0
American Samoa, 38, 0.0
Cook Islands, 38, 0.0
Bangladesh, 35, 0.0
Gibraltar, 34, 0.0
Brunei Darussalam, 34, 0.0
Djibouti, 32, 0.0
Samoa, 32, 0.0
US Virgin Islands, 18, 0.0
Sri Lanka, 17, 0.0
Pakistan, 10, 0.0
Cayman Islands, 8, 0.0
San Marino, 8, 0.0
British Virgin Islands, 4, 0.0
Montserrat, 4, 0.0
Turks and Caicos Islands, 0, 0.0
Anguilla, 0, 0.0
Bahamas, 0, 0.0
Eritrea, 0, 0.0
Somalia, 0, 0.0
Tonga, 0, 0.0
